trade_date,open,high,low,close,volume,openinterest
2022-11-29,1385.46,1480.03,1382.05,1480.03,4749276.5,0
2022-11-30,1469.78,1519.91,1460.66,1484.59,3209628.3,0
2022-12-01,1524.47,1556.37,1489.15,1492.56,2002688.83,0
2022-12-02,1497.12,1498.26,1445.85,1469.78,1404202.78,0
2022-12-05,1491.42,1546.11,1482.31,1541.56,2287627.42,0
2022-12-06,1519.91,1556.37,1509.65,1530.16,1252578.91,0
2022-12-07,1518.77,1523.33,1484.59,1498.26,1377376.9,0
2022-12-08,1498.26,1540.42,1494.84,1522.19,1065722.8,0
2022-12-09,1526.75,1566.62,1521.05,1560.93,1615831.92,0
2022-12-12,1547.25,1547.25,1488.01,1493.7,1392584.28,0
2022-12-13,1498.26,1522.19,1497.12,1508.52,902285.13,0
2022-12-14,1507.38,1526.75,1490.29,1507.38,974061.1,0
2022-12-15,1497.12,1513.07,1474.33,1492.56,835349.26,0
2022-12-16,1483.45,1526.75,1483.45,1519.91,924251.67,0
2022-12-19,1518.77,1534.72,1475.47,1485.73,1030866.06,0
2022-12-20,1477.75,1490.29,1443.57,1453.83,896212.23,0
2022-12-21,1464.08,1480.03,1451.55,1468.64,614589.64,0
2022-12-22,1481.17,1498.26,1469.78,1475.47,672394.3,0
2022-12-23,1464.08,1488.01,1458.38,1478.89,564426.41,0
2022-12-26,1480.03,1485.73,1448.13,1454.97,797119.87,0
2022-12-27,1466.36,1506.24,1466.36,1493.7,886004.12,0
2022-12-28,1499.4,1524.47,1481.17,1497.12,791191.98,0
2022-12-29,1489.15,1495.98,1464.08,1484.59,666890.09,0
2022-12-30,1485.73,1513.07,1476.61,1499.4,818035.98,0
2023-01-03,1503.96,1578.02,1486.87,1568.9,2194127.94,0
2023-01-04,1562.07,1642.96,1552.95,1631.57,2189682.53,0
2023-01-05,1640.68,1679.42,1637.26,1649.8,1665425.18,0
2023-01-06,1652.07,1677.14,1649.8,1665.75,1195744.71,0
2023-01-09,1680.56,1695.37,1654.35,1686.26,1057659.11,0
2023-01-10,1681.7,1696.51,1639.54,1645.24,1269423.39,0
2023-01-11,1646.38,1683.98,1639.54,1671.44,830566.12,0
2023-01-12,1682.84,1682.84,1655.49,1671.44,625694.84,0
2023-01-13,1671.44,1703.35,1657.77,1703.35,949085.83,0
2023-01-16,1703.35,1740.95,1691.95,1718.16,1560039.89,0
2023-01-17,1723.85,1729.55,1682.84,1705.62,935834.54,0
2023-01-18,1703.35,1729.55,1698.79,1721.58,718434.03,0
2023-01-19,1723.85,1737.53,1694.23,1719.3,641875.2,0
2023-01-20,1727.27,1736.39,1709.04,1723.85,608590.08,0
2023-01-30,1777.4,1793.36,1696.51,1726.13,1374317.5,0
2023-01-31,1736.39,1767.15,1704.49,1707.9,1030497.84,0
2023-02-01,1712.46,1718.16,1653.21,1674.86,1653421.48,0
2023-02-02,1679.42,1683.98,1625.87,1663.47,1577900.39,0
2023-02-03,1646.38,1657.77,1613.34,1631.57,1246382.98,0
2023-02-06,1606.5,1609.92,1579.16,1595.11,1317610.1,0
2023-02-07,1601.94,1631.57,1598.52,1619.03,869460.46,0
2023-02-08,1622.45,1631.57,1598.52,1599.66,657892.57,0
2023-02-09,1596.25,1629.29,1590.55,1609.92,830350.02,0
2023-02-10,1606.5,1608.78,1579.16,1592.83,847283.66,0
2023-02-13,1588.27,1588.27,1549.53,1574.6,1800054.16,0
2023-02-14,1578.02,1592.83,1572.32,1590.55,909937.09,0
2023-02-15,1589.41,1590.55,1551.81,1557.51,1250243.98,0
2023-02-16,1558.65,1584.85,1538.14,1549.53,1279123.29,0
2023-02-17,1552.95,1563.2,1530.16,1530.16,918363.69,0
2023-02-20,1538.14,1612.2,1537.0,1612.2,2116191.17,0
2023-02-21,1601.94,1617.89,1585.99,1606.5,990494.99,0
2023-02-22,1595.11,1608.78,1588.27,1597.39,638922.39,0
2023-02-23,1595.11,1631.57,1592.83,1600.8,824490.68,0
2023-02-24,1597.39,1598.52,1572.32,1579.16,729989.04,0
2023-02-27,1566.62,1581.43,1558.65,1559.79,621461.93,0
2023-02-28,1566.62,1578.02,1550.67,1570.04,607935.92,0
2023-03-01,1572.32,1616.75,1565.48,1614.48,1223451.78,0
2023-03-02,1609.92,1645.24,1601.94,1622.45,1015876.84,0
2023-03-03,1634.98,1637.26,1611.06,1628.15,690954.39,0
2023-03-06,1629.29,1629.29,1563.2,1578.02,1455824.14,0
2023-03-07,1578.02,1606.5,1555.23,1559.79,1279266.29,0
2023-03-08,1552.95,1554.09,1526.75,1541.56,1096897.91,0
